# name: batch_metadata_enrichment
# description: Batch-local metadata cache rebuilt per batch, then queried heavily with a hot subset.
# story: Per-batch enrichment cache for large parsed objects or metadata blobs.
# value_type: large_value
# peak_live_entries: 96
op,key,value_seed,expected_hit
clear,0,0,0
insert,0,0,0
insert,1,1,0
insert,2,2,0
insert,3,3,0
insert,4,4,0
insert,5,5,0
insert,6,6,0
insert,7,7,0
insert,8,8,0
insert,9,9,0
insert,10,10,0
insert,11,11,0
insert,12,12,0
insert,13,13,0
insert,14,14,0
insert,15,15,0
insert,16,16,0
insert,17,17,0
insert,18,18,0
insert,19,19,0
insert,20,20,0
insert,21,21,0
insert,22,22,0
insert,23,23,0
insert,24,24,0
insert,25,25,0
insert,26,26,0
insert,27,27,0
insert,28,28,0
insert,29,29,0
insert,30,30,0
insert,31,31,0
insert,32,32,0
insert,33,33,0
insert,34,34,0
insert,35,35,0
insert,36,36,0
insert,37,37,0
insert,38,38,0
insert,39,39,0
insert,40,40,0
insert,41,41,0
insert,42,42,0
insert,43,43,0
insert,44,44,0
insert,45,45,0
insert,46,46,0
insert,47,47,0
insert,48,48,0
insert,49,49,0
insert,50,50,0
insert,51,51,0
insert,52,52,0
insert,53,53,0
insert,54,54,0
insert,55,55,0
insert,56,56,0
insert,57,57,0
insert,58,58,0
insert,59,59,0
insert,60,60,0
insert,61,61,0
insert,62,62,0
insert,63,63,0
insert,64,64,0
insert,65,65,0
insert,66,66,0
insert,67,67,0
insert,68,68,0
insert,69,69,0
insert,70,70,0
insert,71,71,0
insert,72,72,0
insert,73,73,0
insert,74,74,0
insert,75,75,0
insert,76,76,0
insert,77,77,0
insert,78,78,0
insert,79,79,0
insert,80,80,0
insert,81,81,0
insert,82,82,0
insert,83,83,0
insert,84,84,0
insert,85,85,0
insert,86,86,0
insert,87,87,0
insert,88,88,0
insert,89,89,0
insert,90,90,0
insert,91,91,0
insert,92,92,0
insert,93,93,0
insert,94,94,0
insert,95,95,0
find,0,0,1
find,1,0,1
find,2,0,1
find,3,0,1
find,4,0,1
find,5,0,1
find,6,0,1
find,7,0,1
find,8,0,1
find,9,0,1
find,10,0,1
find,11,0,1
find,12,0,1
find,13,0,1
find,14,0,1
find,15,0,1
find,0,0,1
find,1,0,1
find,2,0,1
find,3,0,1
find,4,0,1
find,5,0,1
find,6,0,1
find,7,0,1
find,8,0,1
find,9,0,1
find,10,0,1
find,11,0,1
find,12,0,1
find,13,0,1
find,14,0,1
find,15,0,1
find,0,0,1
find,1,0,1
find,2,0,1
find,3,0,1
find,4,0,1
find,5,0,1
find,6,0,1
find,7,0,1
find,8,0,1
find,9,0,1
find,10,0,1
find,11,0,1
find,12,0,1
find,13,0,1
find,14,0,1
find,15,0,1
find,0,0,1
find,1,0,1
find,2,0,1
find,3,0,1
find,4,0,1
find,5,0,1
find,6,0,1
find,7,0,1
find,8,0,1
find,9,0,1
find,10,0,1
find,11,0,1
find,12,0,1
find,13,0,1
find,14,0,1
find,15,0,1
find,16,0,1
find,17,0,1
find,18,0,1
find,19,0,1
find,20,0,1
find,21,0,1
find,22,0,1
find,23,0,1
find,96,0,0
find,97,0,0
find,98,0,0
find,99,0,0
find,100,0,0
find,101,0,0
find,102,0,0
find,103,0,0
find,104,0,0
find,105,0,0
find,106,0,0
find,107,0,0
find,5,0,1
find,6,0,1
find,7,0,1
find,8,0,1
find,9,0,1
find,10,0,1
find,11,0,1
find,12,0,1
find,13,0,1
find,14,0,1
find,15,0,1
find,0,0,1
find,1,0,1
find,2,0,1
find,3,0,1
find,4,0,1
find,5,0,1
find,6,0,1
find,7,0,1
find,8,0,1
find,9,0,1
find,10,0,1
find,11,0,1
find,12,0,1
find,13,0,1
find,14,0,1
find,15,0,1
find,0,0,1
find,1,0,1
find,2,0,1
find,3,0,1
find,4,0,1
find,5,0,1
find,6,0,1
find,7,0,1
find,8,0,1
find,9,0,1
find,10,0,1
find,11,0,1
find,12,0,1
find,13,0,1
find,14,0,1
find,15,0,1
find,0,0,1
find,1,0,1
find,2,0,1
find,3,0,1
find,4,0,1
find,17,0,1
find,18,0,1
find,19,0,1
find,20,0,1
find,21,0,1
find,22,0,1
find,23,0,1
find,24,0,1
find,25,0,1
find,26,0,1
find,27,0,1
find,28,0,1
find,29,0,1
find,30,0,1
find,31,0,1
find,32,0,1
find,33,0,1
find,34,0,1
find,35,0,1
find,36,0,1
find,37,0,1
find,38,0,1
find,39,0,1
find,40,0,1
find,112,0,0
find,113,0,0
find,114,0,0
find,115,0,0
find,116,0,0
find,117,0,0
find,118,0,0
find,119,0,0
find,120,0,0
find,121,0,0
find,122,0,0
find,123,0,0
find,10,0,1
find,11,0,1
find,12,0,1
find,13,0,1
find,14,0,1
find,15,0,1
find,0,0,1
find,1,0,1
find,2,0,1
find,3,0,1
find,4,0,1
find,5,0,1
find,6,0,1
find,7,0,1
find,8,0,1
find,9,0,1
find,10,0,1
find,11,0,1
find,12,0,1
find,13,0,1
find,14,0,1
find,15,0,1
find,0,0,1
find,1,0,1
find,2,0,1
find,3,0,1
find,4,0,1
find,5,0,1
find,6,0,1
find,7,0,1
find,8,0,1
find,9,0,1
find,10,0,1
find,11,0,1
find,12,0,1
find,13,0,1
find,14,0,1
find,15,0,1
find,0,0,1
find,1,0,1
find,2,0,1
find,3,0,1
find,4,0,1
find,5,0,1
find,6,0,1
find,7,0,1
find,8,0,1
find,9,0,1
find,34,0,1
find,35,0,1
find,36,0,1
find,37,0,1
find,38,0,1
find,39,0,1
find,40,0,1
find,41,0,1
find,42,0,1
find,43,0,1
find,44,0,1
find,45,0,1
find,46,0,1
find,47,0,1
find,48,0,1
find,49,0,1
find,50,0,1
find,51,0,1
find,52,0,1
find,53,0,1
find,54,0,1
find,55,0,1
find,56,0,1
find,57,0,1
find,128,0,0
find,129,0,0
find,130,0,0
find,131,0,0
find,132,0,0
find,133,0,0
find,134,0,0
find,135,0,0
find,136,0,0
find,137,0,0
find,138,0,0
find,139,0,0
find,15,0,1
find,0,0,1
find,1,0,1
find,2,0,1
find,3,0,1
find,4,0,1
find,5,0,1
find,6,0,1
find,7,0,1
find,8,0,1
find,9,0,1
find,10,0,1
find,11,0,1
find,12,0,1
find,13,0,1
find,14,0,1
find,15,0,1
find,0,0,1
find,1,0,1
find,2,0,1
find,3,0,1
find,4,0,1
find,5,0,1
find,6,0,1
find,7,0,1
find,8,0,1
find,9,0,1
find,10,0,1
find,11,0,1
find,12,0,1
find,13,0,1
find,14,0,1
find,15,0,1
find,0,0,1
find,1,0,1
find,2,0,1
find,3,0,1
find,4,0,1
find,5,0,1
find,6,0,1
find,7,0,1
find,8,0,1
find,9,0,1
find,10,0,1
find,11,0,1
find,12,0,1
find,13,0,1
find,14,0,1
find,51,0,1
find,52,0,1
find,53,0,1
find,54,0,1
find,55,0,1
find,56,0,1
find,57,0,1
find,58,0,1
find,59,0,1
find,60,0,1
find,61,0,1
find,62,0,1
find,63,0,1
find,64,0,1
find,65,0,1
find,66,0,1
find,67,0,1
find,68,0,1
find,69,0,1
find,70,0,1
find,71,0,1
find,72,0,1
find,73,0,1
find,74,0,1
find,144,0,0
find,145,0,0
find,146,0,0
find,147,0,0
find,148,0,0
find,149,0,0
find,150,0,0
find,151,0,0
find,152,0,0
find,153,0,0
find,154,0,0
find,155,0,0
find,4,0,1
find,5,0,1
find,6,0,1
find,7,0,1
find,8,0,1
find,9,0,1
find,10,0,1
find,11,0,1
find,12,0,1
find,13,0,1
find,14,0,1
find,15,0,1
find,0,0,1
find,1,0,1
find,2,0,1
find,3,0,1
find,4,0,1
find,5,0,1
find,6,0,1
find,7,0,1
find,8,0,1
find,9,0,1
find,10,0,1
find,11,0,1
find,12,0,1
find,13,0,1
find,14,0,1
find,15,0,1
find,0,0,1
find,1,0,1
find,2,0,1
find,3,0,1
find,4,0,1
find,5,0,1
find,6,0,1
find,7,0,1
find,8,0,1
find,9,0,1
find,10,0,1
find,11,0,1
find,12,0,1
find,13,0,1
find,14,0,1
find,15,0,1
find,0,0,1
find,1,0,1
find,2,0,1
find,3,0,1
find,68,0,1
find,69,0,1
find,70,0,1
find,71,0,1
find,72,0,1
find,73,0,1
find,74,0,1
find,75,0,1
find,76,0,1
find,77,0,1
find,78,0,1
find,79,0,1
find,80,0,1
find,81,0,1
find,82,0,1
find,83,0,1
find,84,0,1
find,85,0,1
find,86,0,1
find,87,0,1
find,88,0,1
find,89,0,1
find,90,0,1
find,91,0,1
find,160,0,0
find,161,0,0
find,162,0,0
find,163,0,0
find,164,0,0
find,165,0,0
find,166,0,0
find,167,0,0
find,168,0,0
find,169,0,0
find,170,0,0
find,171,0,0
find,9,0,1
find,10,0,1
find,11,0,1
find,12,0,1
find,13,0,1
find,14,0,1
find,15,0,1
find,0,0,1
find,1,0,1
find,2,0,1
