# name: graph_traversal_scratch
# description: Traversal-local visited-state trace with repeated neighbor checks and fresh traversal resets.
# story: Visited-map scratch state for BFS/DFS-style traversals where reset cost matters.
# value_type: int
# peak_live_entries: 156
op,key,value_seed,expected_hit
clear,0,0,0
find,0,0,0
insert,0,0,0
find,17,0,0
insert,17,17,0
find,34,0,0
insert,34,34,0
find,0,0,1
find,1,0,0
insert,1,1,0
find,18,0,0
insert,18,18,0
find,35,0,0
insert,35,35,0
find,1,0,1
find,2,0,0
insert,2,2,0
find,19,0,0
insert,19,19,0
find,36,0,0
insert,36,36,0
find,2,0,1
find,3,0,0
insert,3,3,0
find,20,0,0
insert,20,20,0
find,37,0,0
insert,37,37,0
find,3,0,1
find,4,0,0
insert,4,4,0
find,21,0,0
insert,21,21,0
find,38,0,0
insert,38,38,0
find,4,0,1
find,5,0,0
insert,5,5,0
find,22,0,0
insert,22,22,0
find,39,0,0
insert,39,39,0
find,5,0,1
find,6,0,0
insert,6,6,0
find,23,0,0
insert,23,23,0
find,40,0,0
insert,40,40,0
find,6,0,1
find,7,0,0
insert,7,7,0
find,24,0,0
insert,24,24,0
find,41,0,0
insert,41,41,0
find,7,0,1
find,8,0,0
insert,8,8,0
find,25,0,0
insert,25,25,0
find,42,0,0
insert,42,42,0
find,8,0,1
find,9,0,0
insert,9,9,0
find,26,0,0
insert,26,26,0
find,43,0,0
insert,43,43,0
find,9,0,1
find,10,0,0
insert,10,10,0
find,27,0,0
insert,27,27,0
find,44,0,0
insert,44,44,0
find,10,0,1
find,11,0,0
insert,11,11,0
find,28,0,0
insert,28,28,0
find,45,0,0
insert,45,45,0
find,11,0,1
find,12,0,0
insert,12,12,0
find,29,0,0
insert,29,29,0
find,46,0,0
insert,46,46,0
find,12,0,1
find,13,0,0
insert,13,13,0
find,30,0,0
insert,30,30,0
find,47,0,0
insert,47,47,0
find,13,0,1
find,14,0,0
insert,14,14,0
find,31,0,0
insert,31,31,0
find,48,0,0
insert,48,48,0
find,14,0,1
find,15,0,0
insert,15,15,0
find,32,0,0
insert,32,32,0
find,49,0,0
insert,49,49,0
find,15,0,1
find,16,0,0
insert,16,16,0
find,33,0,0
insert,33,33,0
find,50,0,0
insert,50,50,0
find,16,0,1
find,17,0,1
find,34,0,1
find,51,0,0
insert,51,51,0
find,17,0,1
find,18,0,1
find,35,0,1
find,52,0,0
insert,52,52,0
find,18,0,1
find,19,0,1
find,36,0,1
find,53,0,0
insert,53,53,0
find,19,0,1
find,20,0,1
find,37,0,1
find,54,0,0
insert,54,54,0
find,20,0,1
find,21,0,1
find,38,0,1
find,55,0,0
insert,55,55,0
find,21,0,1
find,97,0,0
insert,97,97,0
find,114,0,0
insert,114,114,0
find,131,0,0
insert,131,131,0
find,0,0,1
find,114,0,1
find,131,0,1
find,148,0,0
insert,148,148,0
find,17,0,1
find,131,0,1
find,148,0,1
find,165,0,0
insert,165,165,0
find,12,0,1
find,98,0,0
insert,98,98,0
find,115,0,0
insert,115,115,0
find,132,0,0
insert,132,132,0
find,1,0,1
find,115,0,1
find,132,0,1
find,149,0,0
insert,149,149,0
find,18,0,1
find,132,0,1
find,149,0,1
find,166,0,0
insert,166,166,0
find,13,0,1
find,99,0,0
insert,99,99,0
find,116,0,0
insert,116,116,0
find,133,0,0
insert,133,133,0
find,2,0,1
find,116,0,1
find,133,0,1
find,150,0,0
insert,150,150,0
find,19,0,1
find,133,0,1
find,150,0,1
find,167,0,0
insert,167,167,0
find,14,0,1
find,100,0,0
insert,100,100,0
find,117,0,0
insert,117,117,0
find,134,0,0
insert,134,134,0
find,3,0,1
find,117,0,1
find,134,0,1
find,151,0,0
insert,151,151,0
find,20,0,1
find,134,0,1
find,151,0,1
find,168,0,0
insert,168,168,0
find,15,0,1
find,101,0,0
insert,101,101,0
find,118,0,0
insert,118,118,0
find,135,0,0
insert,135,135,0
find,4,0,1
find,118,0,1
find,135,0,1
find,152,0,0
insert,152,152,0
find,21,0,1
find,135,0,1
find,152,0,1
find,169,0,0
insert,169,169,0
find,16,0,1
find,102,0,0
insert,102,102,0
find,119,0,0
insert,119,119,0
find,136,0,0
insert,136,136,0
find,5,0,1
find,119,0,1
find,136,0,1
find,153,0,0
insert,153,153,0
find,0,0,1
find,136,0,1
find,153,0,1
find,170,0,0
insert,170,170,0
find,17,0,1
find,103,0,0
insert,103,103,0
find,120,0,0
insert,120,120,0
find,137,0,0
insert,137,137,0
find,6,0,1
find,120,0,1
find,137,0,1
find,154,0,0
insert,154,154,0
find,1,0,1
find,137,0,1
find,154,0,1
find,171,0,0
insert,171,171,0
find,18,0,1
find,104,0,0
insert,104,104,0
find,121,0,0
insert,121,121,0
find,138,0,0
insert,138,138,0
find,7,0,1
find,291,0,0
insert,291,291,0
find,308,0,0
insert,308,308,0
find,325,0,0
insert,325,325,0
find,9,0,1
find,308,0,1
find,325,0,1
find,342,0,0
insert,342,342,0
find,4,0,1
find,325,0,1
find,342,0,1
find,359,0,0
insert,359,359,0
find,21,0,1
find,342,0,1
find,359,0,1
find,376,0,0
insert,376,376,0
find,16,0,1
find,359,0,1
find,376,0,1
find,393,0,0
insert,393,393,0
find,11,0,1
find,292,0,0
insert,292,292,0
find,309,0,0
insert,309,309,0
find,326,0,0
insert,326,326,0
find,10,0,1
find,309,0,1
find,326,0,1
find,343,0,0
insert,343,343,0
find,5,0,1
find,326,0,1
find,343,0,1
find,360,0,0
insert,360,360,0
find,0,0,1
find,343,0,1
find,360,0,1
find,377,0,0
insert,377,377,0
find,17,0,1
find,360,0,1
find,377,0,1
find,394,0,0
insert,394,394,0
find,12,0,1
find,293,0,0
insert,293,293,0
find,310,0,0
insert,310,310,0
find,327,0,0
insert,327,327,0
find,11,0,1
find,310,0,1
find,327,0,1
find,344,0,0
insert,344,344,0
find,6,0,1
find,327,0,1
find,344,0,1
find,361,0,0
insert,361,361,0
find,1,0,1
find,344,0,1
find,361,0,1
find,378,0,0
insert,378,378,0
find,18,0,1
find,361,0,1
find,378,0,1
find,395,0,0
insert,395,395,0
find,13,0,1
find,294,0,0
insert,294,294,0
find,311,0,0
insert,311,311,0
find,328,0,0
insert,328,328,0
find,12,0,1
find,311,0,1
find,328,0,1
find,345,0,0
insert,345,345,0
find,7,0,1
find,328,0,1
find,345,0,1
find,362,0,0
insert,362,362,0
find,2,0,1
find,345,0,1
find,362,0,1
find,379,0,0
insert,379,379,0
find,19,0,1
find,362,0,1
find,379,0,1
find,396,0,0
insert,396,396,0
find,14,0,1
find,295,0,0
insert,295,295,0
find,312,0,0
insert,312,312,0
find,329,0,0
insert,329,329,0
find,13,0,1
find,312,0,1
find,329,0,1
find,346,0,0
insert,346,346,0
find,8,0,1
find,582,0,0
insert,582,582,0
find,599,0,0
insert,599,599,0
find,616,0,0
insert,616,616,0
find,5,0,1
find,599,0,1
find,616,0,1
find,633,0,0
insert,633,633,0
find,0,0,1
find,616,0,1
find,633,0,1
find,650,0,0
insert,650,650,0
find,17,0,1
find,633,0,1
find,650,0,1
find,667,0,0
insert,667,667,0
find,12,0,1
find,650,0,1
find,667,0,1
find,684,0,0
insert,684,684,0
find,7,0,1
find,667,0,1
find,684,0,1
find,701,0,0
insert,701,701,0
find,2,0,1
find,684,0,1
find,701,0,1
find,718,0,0
insert,718,718,0
find,19,0,1
find,583,0,0
insert,583,583,0
find,600,0,0
insert,600,600,0
find,617,0,0
insert,617,617,0
find,6,0,1
find,600,0,1
find,617,0,1
find,634,0,0
insert,634,634,0
find,1,0,1
find,617,0,1
find,634,0,1
find,651,0,0
insert,651,651,0
find,18,0,1
find,634,0,1
find,651,0,1
find,668,0,0
insert,668,668,0
find,13,0,1
find,651,0,1
find,668,0,1
find,685,0,0
insert,685,685,0
find,8,0,1
find,668,0,1
find,685,0,1
find,702,0,0
insert,702,702,0
find,3,0,1
find,685,0,1
find,702,0,1
find,719,0,0
insert,719,719,0
find,20,0,1
find,584,0,0
insert,584,584,0
find,601,0,0
insert,601,601,0
find,618,0,0
insert,618,618,0
find,7,0,1
find,601,0,1
find,618,0,1
find,635,0,0
insert,635,635,0
find,2,0,1
find,618,0,1
find,635,0,1
find,652,0,0
insert,652,652,0
find,19,0,1
find,635,0,1
find,652,0,1
find,669,0,0
insert,669,669,0
