# name: hotset_phase_shift
# description: Long-lived cache trace with hot-key skew, warm lookups, and bursty miss phases.
# story: Hot-key lookup cache with phase shifts between skewed hits and miss bursts.
# value_type: int
# peak_live_entries: 512
op,key,value_seed,expected_hit
insert,200000,50000,0
insert,200001,50001,0
insert,200002,50002,0
insert,200003,50003,0
insert,200004,50004,0
insert,200005,50005,0
insert,200006,50006,0
insert,200007,50007,0
insert,200008,50008,0
insert,200009,50009,0
insert,200010,50010,0
insert,200011,50011,0
insert,200012,50012,0
insert,200013,50013,0
insert,200014,50014,0
insert,200015,50015,0
insert,200016,50016,0
insert,200017,50017,0
insert,200018,50018,0
insert,200019,50019,0
insert,200020,50020,0
insert,200021,50021,0
insert,200022,50022,0
insert,200023,50023,0
insert,200024,50024,0
insert,200025,50025,0
insert,200026,50026,0
insert,200027,50027,0
insert,200028,50028,0
insert,200029,50029,0
insert,200030,50030,0
insert,200031,50031,0
insert,200032,50032,0
insert,200033,50033,0
insert,200034,50034,0
insert,200035,50035,0
insert,200036,50036,0
insert,200037,50037,0
insert,200038,50038,0
insert,200039,50039,0
insert,200040,50040,0
insert,200041,50041,0
insert,200042,50042,0
insert,200043,50043,0
insert,200044,50044,0
insert,200045,50045,0
insert,200046,50046,0
insert,200047,50047,0
insert,200048,50048,0
insert,200049,50049,0
insert,200050,50050,0
insert,200051,50051,0
insert,200052,50052,0
insert,200053,50053,0
insert,200054,50054,0
insert,200055,50055,0
insert,200056,50056,0
insert,200057,50057,0
insert,200058,50058,0
insert,200059,50059,0
insert,200060,50060,0
insert,200061,50061,0
insert,200062,50062,0
insert,200063,50063,0
insert,200064,50064,0
insert,200065,50065,0
insert,200066,50066,0
insert,200067,50067,0
insert,200068,50068,0
insert,200069,50069,0
insert,200070,50070,0
insert,200071,50071,0
insert,200072,50072,0
insert,200073,50073,0
insert,200074,50074,0
insert,200075,50075,0
insert,200076,50076,0
insert,200077,50077,0
insert,200078,50078,0
insert,200079,50079,0
insert,200080,50080,0
insert,200081,50081,0
insert,200082,50082,0
insert,200083,50083,0
insert,200084,50084,0
insert,200085,50085,0
insert,200086,50086,0
insert,200087,50087,0
insert,200088,50088,0
insert,200089,50089,0
insert,200090,50090,0
insert,200091,50091,0
insert,200092,50092,0
insert,200093,50093,0
insert,200094,50094,0
insert,200095,50095,0
insert,200096,50096,0
insert,200097,50097,0
insert,200098,50098,0
insert,200099,50099,0
insert,200100,50100,0
insert,200101,50101,0
insert,200102,50102,0
insert,200103,50103,0
insert,200104,50104,0
insert,200105,50105,0
insert,200106,50106,0
insert,200107,50107,0
insert,200108,50108,0
insert,200109,50109,0
insert,200110,50110,0
insert,200111,50111,0
insert,200112,50112,0
insert,200113,50113,0
insert,200114,50114,0
insert,200115,50115,0
insert,200116,50116,0
insert,200117,50117,0
insert,200118,50118,0
insert,200119,50119,0
insert,200120,50120,0
insert,200121,50121,0
insert,200122,50122,0
insert,200123,50123,0
insert,200124,50124,0
insert,200125,50125,0
insert,200126,50126,0
insert,200127,50127,0
insert,200128,50128,0
insert,200129,50129,0
insert,200130,50130,0
insert,200131,50131,0
insert,200132,50132,0
insert,200133,50133,0
insert,200134,50134,0
insert,200135,50135,0
insert,200136,50136,0
insert,200137,50137,0
insert,200138,50138,0
insert,200139,50139,0
insert,200140,50140,0
insert,200141,50141,0
insert,200142,50142,0
insert,200143,50143,0
insert,200144,50144,0
insert,200145,50145,0
insert,200146,50146,0
insert,200147,50147,0
insert,200148,50148,0
insert,200149,50149,0
insert,200150,50150,0
insert,200151,50151,0
insert,200152,50152,0
insert,200153,50153,0
insert,200154,50154,0
insert,200155,50155,0
insert,200156,50156,0
insert,200157,50157,0
insert,200158,50158,0
insert,200159,50159,0
insert,200160,50160,0
insert,200161,50161,0
insert,200162,50162,0
insert,200163,50163,0
insert,200164,50164,0
insert,200165,50165,0
insert,200166,50166,0
insert,200167,50167,0
insert,200168,50168,0
insert,200169,50169,0
insert,200170,50170,0
insert,200171,50171,0
insert,200172,50172,0
insert,200173,50173,0
insert,200174,50174,0
insert,200175,50175,0
insert,200176,50176,0
insert,200177,50177,0
insert,200178,50178,0
insert,200179,50179,0
insert,200180,50180,0
insert,200181,50181,0
insert,200182,50182,0
insert,200183,50183,0
insert,200184,50184,0
insert,200185,50185,0
insert,200186,50186,0
insert,200187,50187,0
insert,200188,50188,0
insert,200189,50189,0
insert,200190,50190,0
insert,200191,50191,0
insert,200192,50192,0
insert,200193,50193,0
insert,200194,50194,0
insert,200195,50195,0
insert,200196,50196,0
insert,200197,50197,0
insert,200198,50198,0
insert,200199,50199,0
insert,200200,50200,0
insert,200201,50201,0
insert,200202,50202,0
insert,200203,50203,0
insert,200204,50204,0
insert,200205,50205,0
insert,200206,50206,0
insert,200207,50207,0
insert,200208,50208,0
insert,200209,50209,0
insert,200210,50210,0
insert,200211,50211,0
insert,200212,50212,0
insert,200213,50213,0
insert,200214,50214,0
insert,200215,50215,0
insert,200216,50216,0
insert,200217,50217,0
insert,200218,50218,0
insert,200219,50219,0
insert,200220,50220,0
insert,200221,50221,0
insert,200222,50222,0
insert,200223,50223,0
insert,200224,50224,0
insert,200225,50225,0
insert,200226,50226,0
insert,200227,50227,0
insert,200228,50228,0
insert,200229,50229,0
insert,200230,50230,0
insert,200231,50231,0
insert,200232,50232,0
insert,200233,50233,0
insert,200234,50234,0
insert,200235,50235,0
insert,200236,50236,0
insert,200237,50237,0
insert,200238,50238,0
insert,200239,50239,0
insert,200240,50240,0
insert,200241,50241,0
insert,200242,50242,0
insert,200243,50243,0
insert,200244,50244,0
insert,200245,50245,0
insert,200246,50246,0
insert,200247,50247,0
insert,200248,50248,0
insert,200249,50249,0
insert,200250,50250,0
insert,200251,50251,0
insert,200252,50252,0
insert,200253,50253,0
insert,200254,50254,0
insert,200255,50255,0
insert,200256,50256,0
insert,200257,50257,0
insert,200258,50258,0
insert,200259,50259,0
insert,200260,50260,0
insert,200261,50261,0
insert,200262,50262,0
insert,200263,50263,0
insert,200264,50264,0
insert,200265,50265,0
insert,200266,50266,0
insert,200267,50267,0
insert,200268,50268,0
insert,200269,50269,0
insert,200270,50270,0
insert,200271,50271,0
insert,200272,50272,0
insert,200273,50273,0
insert,200274,50274,0
insert,200275,50275,0
insert,200276,50276,0
insert,200277,50277,0
insert,200278,50278,0
insert,200279,50279,0
insert,200280,50280,0
insert,200281,50281,0
insert,200282,50282,0
insert,200283,50283,0
insert,200284,50284,0
insert,200285,50285,0
insert,200286,50286,0
insert,200287,50287,0
insert,200288,50288,0
insert,200289,50289,0
insert,200290,50290,0
insert,200291,50291,0
insert,200292,50292,0
insert,200293,50293,0
insert,200294,50294,0
insert,200295,50295,0
