# name: request_dedup_enrichment
# description: Request-scoped dedup and enrichment trace with repeated IDs inside each request.
# story: Temporary per-request cache used to avoid repeated enrichment or parsing work.
# value_type: int
# peak_live_entries: 39
op,key,value_seed,expected_hit
clear,0,0,0
find,1000,0,0
insert,1000,0,0
find,1,0,0
insert,1,1,0
find,2,0,0
insert,2,2,0
find,3,0,0
insert,3,3,0
find,4,0,0
insert,4,4,0
find,1005,0,0
insert,1005,5,0
find,6,0,0
insert,6,6,0
find,7,0,0
insert,7,7,0
find,8,0,0
insert,8,8,0
find,9,0,0
insert,9,9,0
find,1000,0,1
find,11,0,0
insert,11,11,0
find,12,0,0
insert,12,12,0
find,13,0,0
insert,13,13,0
find,14,0,0
insert,14,14,0
find,1005,0,1
find,16,0,0
insert,16,16,0
find,17,0,0
insert,17,17,0
find,18,0,0
insert,18,18,0
find,19,0,0
insert,19,19,0
find,1000,0,1
find,21,0,0
insert,21,21,0
find,22,0,0
insert,22,22,0
find,23,0,0
insert,23,23,0
find,24,0,0
insert,24,24,0
find,1005,0,1
find,26,0,0
insert,26,26,0
find,27,0,0
insert,27,27,0
find,28,0,0
insert,28,28,0
find,29,0,0
insert,29,29,0
find,1000,0,1
find,31,0,0
insert,31,31,0
find,32,0,0
insert,32,32,0
find,33,0,0
insert,33,33,0
find,34,0,0
insert,34,34,0
find,1005,0,1
find,36,0,0
insert,36,36,0
find,37,0,0
insert,37,37,0
find,38,0,0
insert,38,38,0
find,39,0,0
insert,39,39,0
find,1000,0,1
find,1001,0,0
insert,1001,41,0
find,1002,0,0
insert,1002,42,0
find,1003,0,0
insert,1003,43,0
find,1004,0,0
insert,1004,44,0
find,1005,0,1
find,1000,0,1
find,1001,0,1
find,1002,0,1
find,1003,0,1
find,1004,0,1
find,1005,0,1
clear,0,0,0
find,1001,0,0
insert,1001,1000,0
find,501,0,0
insert,501,1001,0
find,502,0,0
insert,502,1002,0
find,503,0,0
insert,503,1003,0
find,504,0,0
insert,504,1004,0
find,1006,0,0
insert,1006,1005,0
find,506,0,0
